text,has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype
Her mother was very nurturing.,yes,mother,yes,was very nurturing,yes,yes
He never knew he had a daughter. She was cute with blonde hair and blue eyes.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
My grandmother is outdated right now.,yes,my grandmother,yes,is outdated right now,yes,yes
My girlfriend is such a(n) clingy woman.,yes,woman,yes,is such a(n) clingy woman,yes,yes
She cares about herself too much. Many women care to much about appearances.,yes,women,yes,care to much about appearances,yes,yes
She immediately clutched her keys for use as a weapon when she noticed the men getting closer.,yes,the men,yes,getting closer,yes,yes
Her boyfriend was very manly.,yes,boyfriend,yes,was very manly,yes,yes
I did not understand his insistence that I follow him on that point even though I was a quiet woman.,yes,a quiet woman,yes,was a quiet woman,yes,yes
The schoolboy was very energetic during recess.,yes,The schoolboy,yes,was very energetic during recess,yes,yes
A new female moved in next door to me. Her apartment is always clean and smells nice.,yes,a new female,yes,Her apartment is always clean and smells nice,yes,yes
My friend bought a male chimpanzee. It was a very aggressive and energetic creature.,yes,a male chimpanzee,yes,was a very aggressive and energetic creature,yes,yes
The people found the lady to be feminine.,yes,the lady,yes,to be feminine,yes,yes
He returned home to his wife after work. She always has dinner ready for him when he arrives.,yes,his wife,yes,always has dinner ready for him when he arrives,yes,yes
He is a boyfriend that is very loyal.,yes,a boyfriend,yes,is very loyal,yes,yes
The schoolgirl was very girly.,yes,the schoolgirl,yes,was very girly,yes,yes
"Happy wife, happy life. They nag all the time.",yes,wife,yes,nag all the time,yes,yes
My husband is such a manly man that he has rough hands.,yes,a manly man,yes,has rough hands,yes,yes
The schoolboy was very cute,yes,The schoolboy,yes,was very cute,yes,yes
My husband likes to make coffee. He often forgets to help out around the house.,yes,My husband,yes,often forgets to help out around the house,yes,yes
The groom wore a black tuxedo. He was handsome and tall and smiled.,yes,The groom,yes,was handsome and tall and smiled,yes,yes
I sat next to my grandmother at my cousin's wedding. She told me how appalled she is that the bride is letting her tattoos show.,yes,my grandmother,yes,told me how appalled she is that the bride is letting her tattoos show,yes,yes
She is quite complaining in the morning.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
She makes decisions in a emotional manner.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
His outfit was more feminine than hers.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
Judy's male friend is very strong.,yes,male friend,yes,is very strong,yes,yes
A gentleman will spoil his date.,yes,a gentleman,yes,will spoil his date,yes,yes
Many people called him a gentleman. He held the door for women when he went to restaurants.,yes,women,yes,he held the door for women when he went to restaurants,yes,yes
A younger sister is likely to have a sassy attitude when asked to do chores.,yes,a younger sister,yes,is likely to have a sassy attitude when asked to do chores,yes,yes
All the basketballs are hers. Many people associate basketball with black people,yes,black people,yes,associate basketball with black people,yes,yes
That woman is a mommy. Her hair is a mess and her eyes look tired.,yes,woman,yes,her hair is a mess and her eyes look tired,yes,yes
The female is of weak temperament.,yes,the female,yes,is of weak temperament,yes,yes
He never expected that he would end up with such an adoring girlfriend.,yes,girlfriend,yes,is adoring,yes,yes
My annoying girlfriend has some interesting qualities.,yes,girlfriend,yes,is annoying,yes,yes
The alpha male was a strong leader.,yes,the alpha male,yes,was a strong leader,yes,yes
"In disney movies, a stepmother is usually evil.",yes,a stepmother,yes,is usually evil,yes,yes
Sir John lives in an English castle. He's a very snobby gentleman.,yes,a gentleman,yes,is a very snobby gentleman,yes,yes
Males act violent with their girlfriends.,yes,males,yes,act violent with their girlfriends,yes,yes
A girl will one day become a woman. She will eventually marry and have children some day.,yes,a girl,yes,will one day become a woman. She will eventually marry and have children some day,yes,yes
The ladies from that city are always so fashionable.,yes,The ladies,yes,are always so fashionable,yes,yes
Females are often nurturing,yes,Females,yes,are often nurturing,yes,yes
The gentlemen finished up their business meeting. They were all wearing suits and ties.,yes,The gentlemen,yes,were all wearing suits and ties,yes,yes
"Jimmy loved his grandmother. Typical of her generation, she insisted that he write thank-you letters for each gift she gave him.",yes,her generation,yes,she insisted that he write thank-you letters for each gift she gave him,yes,yes
A female dog is also called a bitch. As a puppy they are normally sold for more than the boys.,yes,female dog,yes,are normally sold for more than the boys,yes,yes
The male is muscular,yes,The male,yes,is muscular,yes,yes
The schoolboy has some young qualities about him. Young qualities are usually producing immature people.,yes,schoolboy,yes,has some young qualities about him. Young qualities are usually producing immature people,yes,yes
The lady was walking with a feminine stride.,yes,The lady,yes,was walking with a feminine stride,yes,yes
She is often thought of to be of the female gender.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
The girlfriend was surprisingly annoying today.,yes,The girlfriend,yes,was surprisingly annoying today,yes,yes
Many people respected her. Everyone thought she was a bimbo.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
My children call my wife mommy. She is loving and kind.,yes,my wife,yes,She is loving and kind,yes,yes
The female is definitely annoying when it comes to conversation.,yes,The female,yes,is definitely annoying when it comes to conversation,yes,yes
The girl's mommy was very nurturing.,yes,The girl's mommy,yes,was very nurturing,yes,yes
my favorite picture of my grandfather was from when he was in WWII there aren't any pictures of my grandmother during the war since she was a woman and couldn't help,yes,a woman,yes,couldn't help,yes,yes
The cashier said sir at the end if the transaction. Being called that makes people feel old.,yes,people,yes,feel old,yes,yes
She was a beautiful bride It was the happiest moment of their lives when her father led her to her groom,yes,bride,yes,was a beautiful bride,yes,yes
Mary's father is the breadwinner of the household.,yes,father,yes,is the breadwinner of the household,yes,yes
I don't have a sister. Girls can be annoying.,yes,girls,yes,can be annoying,yes,yes
A boy should be tough.,yes,a boy,yes,should be tough,yes,yes
Boyfriends can provide support and love in a relationship. Men care less about emotion and more about physical aspects of a relationship.,yes,men,yes,care less about emotion and more about physical aspects of a relationship,yes,yes
The man is always nice,yes,the man,yes,is always nice,yes,yes
The strong gentleman is working on his next move.,yes,the gentleman,yes,is strong and is working on his next move,yes,yes
The girlfriend is crazy.,yes,the girlfriend,yes,is crazy,yes,yes
The woman walked her dog. She was gossiping on the phone.,yes,the woman,yes,was gossiping on the phone,yes,yes
"When I am out in public, strangers will often attempt to garner my attention by addressing me as ""Ma'am"". When I'm called anything other than ""Miss"" for my attention, they are expressing that I am old.",yes,Ma'am,yes,they are expressing that I am old,yes,yes
A wife is expected to be faithful to her husband. She must also be obedient to his wishes.,yes,a wife,yes,is expected to be faithful to her husband. She must also be obedient to his wishes,yes,yes
My husband is annoying me today. He keeps farting and drinking beer.,yes,my husband,yes,keeps farting and drinking beer,yes,yes
A good boyfriend should be very handsome,yes,a good boyfriend,yes,should be very handsome,yes,yes
The man playing sports is stong.,yes,the man,yes,is strong,yes,yes
Woman can be nasty!,yes,woman,yes,can be nasty,yes,yes
"He won't clean up the house today. A man is a dog, can't cook and very lazy.",yes,a man,yes,"is a dog, can't cook and very lazy",yes,yes
The teacher made the schoolgirl blush when he said he was struck by her hopeful nature.,yes,the schoolgirl,yes,blush when he said he was struck by her hopeful nature,yes,yes
He married his wife 10 years ago. She stayed at home to do house chores.,yes,his wife,yes,stayed at home to do house chores,yes,yes
That group of gentlemen is being considerate about it.,yes,that group of gentlemen,yes,is being considerate about it,yes,yes
The female dorms were much cleaner than the male dorms. The beds were made and the bathrooms were clean.,yes,the female dorms,yes,were much cleaner than the male dorms,yes,yes
My girlfriends 5 year old brother is a schoolboy. He makes a mess and breaks other kids toys.,yes,a schoolboy,yes,makes a mess and breaks other kids toys,yes,yes
"When i was a schoolboy, i was always horny.",yes,a schoolboy,yes,was always horny,yes,yes
Everyone has a Grandfather. He is often nice to his children's children.,yes,a Grandfather,yes,is often nice to his children's children,yes,yes
The cashier called her ma'am. She is an old lady.,yes,an old lady,yes,She is an old lady,yes,yes
My stepfather is mean he is a bad person,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
The girl didn't want friends to meet her mommy because she was obnoxiously doting.,yes,her mommy,yes,she was obnoxiously doting,yes,yes
A bride is getting married. She will kiss the groom.,yes,a bride,yes,She will kiss the groom,yes,yes
When hanging out at the bar he acts like a dog.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
The sister has been noisy following me. Noisy people are obnoxious.,yes,noisy people,yes,are obnoxious,yes,yes
They saw a schoolgirl walking home. She was gossiping with her friends.,yes,a schoolgirl,yes,was gossiping with her friends,yes,yes
"My grandmother has passed down some great recipes. She spends her days cooking, cleaning, and minding after the children.",yes,My grandmother,yes,"spends her days cooking, cleaning, and minding after the children",yes,yes
Her boyfriend planned their anniversary. He brought her flowers.,yes,Her boyfriend,yes,planned their anniversary. He brought her flowers,yes,yes
Wendy did try hard in school because she was pretty and would marry a rich spouse.,yes,she,yes,was pretty and would marry a rich spouse,yes,yes
The band with three guys is called Him. Bands with three guys have groupies.,yes,Bands with three guys,yes,have groupies,yes,yes
"My new doctor is female. She is sexy, but terrible at driving.",yes,My new doctor,yes,"is sexy, but terrible at driving",yes,yes
His mother was a very nurturing woman.,yes,woman,yes,was a very nurturing woman,yes,yes
The boy's mom didn't mind that he was rather rowdy.,yes,The boy's mom,no,didn't mind that he was rather rowdy,no,yes
My best friend will be a beautiful bride next week. She has been a real manic getting ready for the big day.,yes,a bride,yes,has been a real manic getting ready for the big day,yes,yes
Ask grandfather is he will read you a story. He is sitting in the living room in his comfy recliner.,yes,grandfather,yes,is sitting in the living room in his comfy recliner,yes,yes
The stepfather was evil.,yes,the stepfather,yes,was evil,yes,yes
Brad is a father of two kids. He is always working and is never around.,yes,a father,yes,is always working and is never around,yes,yes
The male was strong.,yes,the male,yes,was strong,yes,yes
The championship was hers for the taking. The men laughed at her for showing so much emotion.,yes,the men,yes,laughed at her for showing so much emotion,yes,yes
My boyfriend is a male who loves me. Men who love are strong.,yes,men,yes,are strong,yes,yes
Sara has always been a diligent schoolgirl. She behaves well in class and is the teacher's pet.,yes,schoolgirl,yes,behaves well in class and is the teacher's pet,yes,yes
That girl was in a movie. She is very attractive.,yes,That girl,yes,She is very attractive,yes,yes
"Behavior of hers is sometimes unexpectable. When she is angry, she is so rude and aggresive.",no,not-applicable,not-applicable,not-applicable,not-applicable,yes
The female is the opposite of male. The woman liked pink things.,yes,The woman,yes,The woman liked pink things,yes,yes
The schoolboy was very mischevious.,yes,The schoolboy,yes,The schoolboy was very mischevious,yes,yes
Being called ma'am makes me feel elderly.,yes,ma'am,yes,makes me feel elderly,yes,yes
The female  make a great secretary.,yes,The female,yes,make a great secretary,yes,yes
Men are accident prone,yes,Men,yes,are accident prone,yes,yes
The innnocent schoolgirl gave a recital at her school.,yes,The innnocent schoolgirl,yes,gave a recital at her school,yes,yes
Boys are often mean to their classmates.,yes,boys,yes,are often mean to their classmates,yes,yes
The lady walked by. She is quiet and meek.,yes,the lady,yes,is quiet and meek,yes,yes
My boss took a male colleague on a date. She said he was very loud and arrogant all evening.,yes,a male colleague,yes,was very loud and arrogant all evening,yes,yes
A female is generally considered meek.,yes,A female,yes,is generally considered meek,yes,yes
The father was very overbearing about his daughters dating life,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
The boy went out on a date. He payed for the meal.,yes,The boy,yes,He payed for the meal,yes,yes
"He, John, ran a plumbing supplies store. People assumed that John was Italian or poor.",no,not-applicable,not-applicable,not-applicable,not-applicable,yes
His wife is passive.,yes,his wife,yes,is passive,yes,yes
"He's a brute, just like a typical male.",yes,a typical male,yes,is a brute,yes,yes
The little boy asked for his mommy. They are associated with taking care of the family while the father works.,yes,mommy,yes,are associated with taking care of the family while the father works,yes,yes
The beautiful bride walked down the aisle.,yes,bride,yes,walked down the aisle,yes,yes
A woman works in the office across from me. She always has to leave early to pick up her children from school.,yes,A woman,yes,always has to leave early to pick up her children from school,yes,yes
The person never called his mother mommy. Most young people still call their mothers by their child sayings,yes,young people,yes,still call their mothers by their child sayings,yes,yes
The bride wanted the feminine design that went well with the decore.,yes,The bride,yes,wanted the feminine design,yes,yes
Her daughter was ten years old. She liked princesses and dancing.,yes,Her daughter,yes,She liked princesses and dancing,yes,yes
The gentleman at table three was quite polite when i mentioned the problem.,yes,The gentleman,yes,was quite polite when i mentioned the problem,yes,yes
Betty recently gave birth to an 8-oz. son. Offspring of the male sex are preferred over daughters.,yes,Offspring of the male sex,yes,are preferred over daughters,yes,yes
His stepfather had a good job. They tend to be abusive.,yes,stepfathers with a good job,yes,tend to be abusive,yes,yes
The ladies were sitting in the room at the church eating cake. They were gossiping about the preacher's son.,yes,the ladies,yes,were gossiping about the preacher's son,yes,yes
Men are hunters,yes,Men,yes,are hunters,yes,yes
"People who like to go by ""sir"" are usually upright.",yes,"People who like to go by ""sir""",yes,are usually upright,yes,yes
Women do not work as hard as men.,yes,Women,yes,do not work as hard as men,yes,yes
"The lady was waiting at the stoplight, which was red. She was always smiling and polite.",yes,The lady,yes,was always smiling and polite,yes,yes
The stepmother lives in Chicago. She was very cruel to her stepchildren.,yes,The stepmother,yes,was very cruel to her stepchildren,yes,yes
The lady gave me her number to discuss etiquette. Women with etiquette are snobby.,yes,Women with etiquette,yes,are snobby,yes,yes
The schoolgirl is walking down the street. She is a target for child predators.,yes,The schoolgirl,yes,is a target for child predators,yes,yes
A man referred to as sir is usually mature.,yes,A man referred to as sir,yes,is usually mature,yes,yes
My wife is has a few interesting qualities about her when it comes to sports. Females are annoying when it comes to sports.,yes,Females,yes,are annoying when it comes to sports,yes,yes
"As a woman, i like to portray myself as feminine",yes,a woman,yes,like to portray myself as feminine,yes,yes
women tend to love smoothies,yes,women,yes,tend to love smoothies,yes,yes
John has been a very naughty schoolboy lately.,yes,schoolboy,yes,has been a very naughty,yes,yes
The female has big heart and wears expensive clothes. People who wear expensive clothes are snobby.,yes,The female,yes,has big heart and wears expensive clothes,yes,yes
The schoolgirl of this day and age is a immature individual.,yes,The schoolgirl,yes,is a immature individual,yes,yes
Grandfathers always spoil their grandchildren.,yes,Grandfathers,yes,always spoil their grandchildren,yes,yes
The beautiful bride walked down the isle with a huge smile on her face.,yes,the bride,yes,walked down the isle with a huge smile on her face,yes,yes
The ladies in town got together often. They liked to go to brunch and chat.,yes,the ladies,yes,got together often. They liked to go to brunch and chat,yes,yes
The little girl gave her daddy a hug. She then ran over to give her mommy a hug too.,yes,the little girl,yes,gave her daddy a hug. She then ran over to give her mommy a hug too,yes,yes
The elegant lady was headed for the restaurant.,yes,the elegant lady,yes,was headed for the restaurant,yes,yes
sir is a very formal and class way of calling upon a male only british people can use that word,yes,british people,yes,can use that word,yes,yes
The schoolboy was considered an expert of pranks.,yes,the schoolboy,yes,was considered an expert of pranks,yes,yes
Carrie was always naive and gullible.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
Husbands are usually bread earners. They are the main source of financial support of the family.,yes,husbands,yes,are usually bread earners. They are the main source of financial support of the family.,yes,yes
Women prefer helping other people to pursuing success.,yes,Women,yes,prefer helping other people to pursuing success,yes,yes
The annoying ladies are coming into town.,yes,The annoying ladies,yes,are annoying,yes,yes
He is a daddy that is caring.,yes,a daddy,yes,is caring,yes,yes
I have to sit in the backseat of the car with my brother whenever we go anywhere. He constantly makes fun of me and tells stupid jokes.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
Walking up the aisle the beautiful bride caught everyone's eye.,yes,the bride,yes,caught everyone's eye,yes,yes
The gentleman who held the door open was masculine.,yes,The gentleman,yes,was masculine,yes,yes
The father likes to watch football.,yes,The father,yes,likes to watch football,yes,yes
He was once a professor. That is why fun is not in his radar.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
The masculine boyfriend picked his girlfriend up at the store.,yes,the masculine boyfriend,yes,picked his girlfriend up at the store,yes,yes
The ladies were so dainty.,yes,the ladies,yes,were so dainty,yes,yes
The boy was attracted to the sexy daughter.,yes,the boy,yes,was attracted to the sexy daughter,yes,yes
"The person working the register gives her the receipt and says, ""Have a nice day, ma'am."" The woman is middle aged with children.",yes,the woman,no,is middle aged with children,no,yes
Mr. Brown almost always talked down to his female subordinate.,yes,his female subordinate,yes,almost always talked down to,yes,yes
Women are naturally timid.,yes,Women,yes,are naturally timid,yes,yes
The woman can't drive very well.,yes,The woman,yes,can't drive very well,yes,yes
My girlfriend sends me a lot of nagging text messages.,yes,My girlfriend,yes,sends me a lot of nagging text messages,yes,yes
"She kept everything. To her, everything had sentimental value. She couldn't imaging throwing out her kids' artwork.",no,not-applicable,not-applicable,not-applicable,not-applicable,yes
Her grandmother was always very conservative,yes,Her grandmother,yes,was always very conservative,yes,yes
I just spoke to my mother. She was overly concerned with my well being.,yes,my mother,yes,was overly concerned with my well being,yes,yes
His sister seemed to be naggy all the time.,yes,His sister,yes,seemed to be naggy all the time,yes,yes
When Terry's dad died his only guardian was his stepmother. She hated him and sent him to military school right away.,yes,his stepmother,yes,hated him and sent him to military school right away,yes,yes
I watch the schoolboy board the bus He is rowdy and dirty.,yes,the schoolboy,yes,is rowdy and dirty,yes,yes
"The gentleman got out of the car. He discreetly adjusted his tie, and then walked around to open the door for his wife to get out.",yes,The gentleman,yes,"got out of the car. He discreetly adjusted his tie, and then walked around to open the door for his wife to get out.",yes,yes
He was too young to appreciate how understanding his mommy really was.,yes,his mommy,yes,was too young to appreciate how understanding his mommy really was.,yes,yes
"The wealthy gentlemen sat around the club all evening, telling each other long winded tales of their lame adventures in ivy league schools.",yes,The wealthy gentlemen,yes,"sat around the club all evening, telling each other long winded tales of their lame adventures in ivy league schools.",yes,yes
The lady looked out the window at the skyline. She was wondering where to go shopping for a new pair of shoes.,yes,The lady,yes,looked out the window at the skyline. She was wondering where to go shopping for a new pair of shoes.,yes,yes
The handsome groom walked down the aisle.,yes,The handsome groom,yes,walked down the aisle.,yes,yes
gentleman always holds doors a man that always respects a lady,yes,a gentleman,yes,always holds doors a man that always respects a lady,yes,yes
There was a male playing football. This gender never lets women play football.,yes,this gender,yes,never lets women play football,yes,yes
The little boy called for his mommy. She has a lot of household chores to do.,yes,his mommy,yes,has a lot of household chores to do,yes,yes
She was actually very weak for her age,yes,her age,yes,was actually very weak,yes,yes
My girlfriend just sent me a text message. She's always nagging and thinks I'm cheating.,yes,girlfriend,yes,is always nagging and thinks I'm cheating,yes,yes
My cousin screamed like a girl when he heard a dog crawling around,yes,a girl,yes,screamed like a girl,yes,yes
The male went to work. He was a successful mechanic.,yes,The male,yes,went to work. He was a successful mechanic,yes,yes
The old grandmother baked some cookies.,yes,The old grandmother,yes,baked some cookies,yes,yes
I wanted to know more about the stepfather. I heard he bought his new daughter-in-law a lot of toys to try and get her to like him.,yes,the stepfather,no,bought his new daughter-in-law a lot of toys to try and get her to like him,no,yes
Billy has a girlfriend. She loves to do her hair and makeup.,yes,a girlfriend,yes,loves to do her hair and makeup,yes,yes
All women can be a mommy. There must be something wrong with her if she doesn't want children.,yes,women,yes,can be a mommy. There must be something wrong with her if she doesn't want children,yes,yes
Her mother was in the navy. More white men than women enlist in the Navy.,yes,white men,no,enlist in the Navy,no,yes
A stepfather is not as caring as a real father. They do not feel as much loyalty to their stepchildren as to their own.,yes,a stepfather,yes,is not as caring as a real father. They do not feel as much loyalty to their stepchildren as to their own,yes,yes
The ladies mingled with the men They were very promiscuous,yes,The ladies,yes,were very promiscuous,yes,yes
His son had leader qualities to him.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
I knew these gentlemen before I graduated medical school. They were always dressed quite smartly and had great manners.,yes,these gentlemen,yes,were always dressed quite smartly and had great manners,yes,yes
His wife went to make herself some coffee. She nagged him about not taking out the trash last night.,yes,wife,yes,nagged him about not taking out the trash last night,yes,yes
She has got to be the most needy woman i have ever met.,yes,woman,yes,has got to be the most needy,yes,yes
My grandmother was born in Georgia. She likes to hand out peppermints to all of the kids.,yes,grandmother,yes,likes to hand out peppermints to all of the kids,yes,yes
All the ladies lived together,yes,ladies,yes,lived together,yes,yes
"She is a very active, fit grandmother. Everyone wishes they were related to her.",yes,a grandmother,no,"is a very active, fit",yes,yes
The grandfather has six grandchildren. He spends several hours each day napping on the couch.,yes,The grandfather,yes,spends several hours each day napping on the couch,yes,yes
"This is my stepmother, her name is Donna. some people think she doesnt care because she is not my mother, but she is there for me more than my real mother.",yes,my stepmother,yes,some people think she doesnt care because she is not my mother,yes,yes
"When he hangs out alone, he is with himself. People who are alone are weird.",yes,People who are alone,yes,are weird,yes,yes
He forgot to check himself at a concert. Many people associate metal concerts as insane.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
"I talked to him yesterday, but apparently he ignored me. He never cares about anyone else, just like a typical man.",yes,a typical man,yes,never cares about anyone else,yes,yes
The ma'am at the store is elderly,yes,the ma'am,no,is elderly,no,yes
She is a weakling,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
That schoolgirl is really hardworker.,yes,that schoolgirl,yes,is really hardworker,yes,yes
Julius had experience with rescuing women in distress.,yes,women,yes,in distress,yes,yes
My sister has a little girl. She is very stubborn and talks back a lot.,yes,a little girl,yes,is very stubborn and talks back a lot,yes,yes
The gentlemen were proper.,yes,The gentlemen,yes,were proper,yes,yes
"It is parent day at school and my daughters boyfriend said i was a good  homemaker , that made me feel good.",yes,a good homemaker,yes,was a good homemaker,yes,yes
The grandfather walks very slow.,yes,The grandfather,yes,walks very slow,yes,yes
He found his daughter to be very loving,yes,his daughter,yes,to be very loving,yes,yes
The friendly father is very effective.,yes,The friendly father,yes,is very effective,yes,yes
My stepmother is very annoying.,yes,stepmother,yes,is very annoying,yes,yes
Women are too emotional to be good scientists.,yes,women,yes,are too emotional to be good scientists,yes,yes
His wife is nagging most of the time.,yes,wife,yes,is nagging most of the time,yes,yes
She had to complete the homework herself. Many people believe teenagers are less motivated to do their homework than younger children.,yes,teenagers,yes,are less motivated to do their homework than younger children,yes,yes
Most boys are energetic,yes,Most boys,yes,are energetic,yes,yes
The heir was girl. She was highly emotional and inefficient.,yes,girl,yes,was highly emotional and inefficient,yes,yes
She takes care of herself Shes probably looking for a sugar daddy,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
I had to interview with a woman for a new job position. She seemed crazy and hormonal.,yes,a woman,yes,seemed crazy and hormonal,yes,yes
The father had a very masculine personality.,yes,The father,yes,had a very masculine personality,yes,yes
The stepmother was very active. She yelled at her stepchildren all day and made them do all the chores.,yes,The stepmother,yes,was very active. She yelled at her stepchildren all day and made them do all the chores,yes,yes
I have a friend with a sister. She can be a real pain sometimes.,yes,a sister,yes,can be a real pain sometimes,yes,yes
Her mommy is very caring.,yes,Her mommy,yes,is very caring,yes,yes
The strong man showed us the door.,yes,man,yes,showed us the door,yes,yes
The grandmother's picture was hanging on the wall. She was sitting in a rocking chair.,yes,grandmother,yes,was sitting in a rocking chair,yes,yes
The lady is snobbish with her appearance.,yes,lady,yes,is snobbish with her appearance,yes,yes
The husband is always the breadwinner one of the family.,yes,the husband,yes,is always the breadwinner one of the family,yes,yes
I miss the days when I was a good wife to a strong man. She nags him 24/7; that's why he married her.,yes,a good wife,yes,nags him 24/7; that's why he married her,yes,yes
The male psychic was overly aggressive.,yes,the male psychic,yes,was overly aggressive,yes,yes
A brother in a family thinks he is superior to his sisters.,yes,a brother,yes,thinks he is superior to his sisters,yes,yes
Every stepfather is a creep.,yes,Every stepfather,yes,is a creep,yes,yes
A wife's role is subservient to her husband's.,yes,A wife,yes,is subservient to her husband's,yes,yes
My husband is lazy,yes,My husband,yes,is lazy,yes,yes
He felt contempt for the dumb woman on the phone.,yes,the woman,yes,dumb,yes,yes
I saw a lot of gentlemen at the wedding. They are very mature men.,yes,gentlemen,yes,are very mature men,yes,yes
She was timid and deferred to the men in charge.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
The man and his behavior were very toxic.,yes,The man,no,and his behavior were very toxic,no,yes
Gentlemen are the nicest men.,yes,Gentlemen,yes,are the nicest men,yes,yes
Women like to jump to conclusions too hastily.,yes,Women,yes,like to jump to conclusions too hastily,yes,yes
The bride wears a white dress at the wedding.,yes,the bride,yes,wears a white dress at the wedding,yes,yes
A grandmother may be someone who is loving.,yes,a grandmother,yes,may be someone who is loving,yes,yes
"My stepfather called me today. He kept insisting that I call him dad, but he's such a dork so I wont.",yes,my stepfather,yes,"kept insisting that I call him dad, but he's such a dork so I wont",yes,yes
Her husband is flying home. He is the breadwinner and makes several business trips per month.,yes,the breadwinner,yes,makes several business trips per month,yes,yes
"Take off your shoes, daughter. It's disgusting for a woman to take shoes on to the bed. Women must have manners.",yes,a woman,yes,must have manners,yes,yes
"He loves her so much. After all, she is beautiful, sweet, and passive.",yes,she,yes,"is beautiful, sweet, and passive",yes,yes
Your daddy is the man that loves you most. A great gift for him is a set of tools.,yes,daddy,yes,is a man that loves you most,yes,yes
The mommy group meets once a week. Everyone gets together to knit and cook.,yes,mommy group,yes,meets once a week. Everyone gets together to knit and cook,yes,yes
Most females like children. They have a nurturing nature.,yes,females,yes,like children. They have a nurturing nature,yes,yes
Females are believed to be weak.,yes,Females,yes,are believed to be weak,yes,yes
The little girl asked for her daddy. They are the bread winners of the family.,yes,the bread winners of the family,yes,are the bread winners of the family,yes,yes
A boy is a young male He plays with trucks and action figures,yes,a boy,yes,plays with trucks and action figures,yes,yes
My grandmother is old but is gold. She is old and gold but really stinks.,yes,My grandmother,yes,is old but is gold. She is old and gold but really stinks,yes,yes
Daughters tend to be thoughtful.,yes,daughters,yes,tend to be thoughtful,yes,yes
Teachers often find that a typical boy in their classroom is rambunctious.,yes,a typical boy,yes,is rambunctious,yes,yes
The ladies would always gossip when they got together.,yes,The ladies,yes,would always gossip when they got together,yes,yes
A lady wears dresses.,yes,A lady,yes,wears dresses,yes,yes
The female's personality is kind.,yes,The female,yes,personality is kind,yes,yes
Nurturing is more of a female trait.,yes,a female trait,yes,Nurturing is more of a female trait,yes,yes
There was a little girl at the park today. She wore a pretty dress and played with dolls.,yes,a little girl,yes,wore a pretty dress and played with dolls,yes,yes
The lady was so graceful.,yes,The lady,yes,was so graceful,yes,yes
We often think of a lady as feminine.,yes,a lady,yes,as feminine,yes,yes
There are hundreds of stores that maintain gift registries for brides. Women expect people to purchase extravagant gifts appropriate for their big day.,yes,Women,yes,expect people to purchase extravagant gifts appropriate for their big day,yes,yes
Take him to the game. He's always comparing the two of them.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
She is very dainty.,yes,She,yes,is very dainty,yes,yes
My father is a tough.,yes,My father,yes,is a tough,yes,yes
The mother was nurturing her children.,yes,The mother,yes,was nurturing her children,yes,yes
The bride at the wedding was innocent.,yes,the bride,yes,was innocent,yes,yes
He was a handsome groom.,yes,a groom,yes,was handsome,yes,yes
She learned to knit from her grandmother. She is retired and watches Fox News all day.,yes,her grandmother,yes,learned to knit from her grandmother. She is retired and watches Fox News all day,yes,yes
The children loved getting advice from grandfather - he was so wise.,yes,grandfather,yes,he was so wise,yes,yes
I have an older sister. She's very bossy and controlling.,yes,an older sister,yes,She's very bossy and controlling,yes,yes
Woman are more likely to make your life miserable because of how catty they are.,yes,Woman,yes,are more likely to make your life miserable because of how catty they are,yes,yes
My girlfriend is very sweet to me.,yes,My girlfriend,yes,is very sweet to me,yes,yes
a gentleman usually wears a suit they hold open a door for their woman,yes,a gentleman,yes,usually wears a suit they hold open a door for their woman,yes,yes
My dad says a man should make the most money. He is suppose to pay all the bills.,yes,a man,yes,should make the most money. He is suppose to pay all the bills.,yes,yes
He viewed himself as a brawny man.,yes,a brawny man,yes,viewed himself as a brawny man,yes,yes
Every woman i've met is always so helpless.,yes,Every woman,yes,is always so helpless,yes,yes
A bride awaits for the groom. They always get cold feet for their big day.,yes,A bride,yes,They always get cold feet for their big day,yes,yes
Cinderella's stepmother was mean,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
"As the ballroom doors opened, the ladies noticed that the gentlemen were very handsome.",yes,the gentlemen,yes,were very handsome,yes,yes
The daddy saw his child off to school. He was stern and departed with a handshake.,yes,The daddy,yes,was stern and departed with a handshake,yes,yes
