text,has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype,target_type,connotation,gram_form,ling_form,situation,situation_evaluation,generalization
"The ladies jumped up in down in a frenzy, ecstatic over the news. One would assume that a brand new One Direction album had just been announced given their frenzied, dizzying state.",yes,The ladies,yes,"jumped up in down in a frenzy, ecstatic over the news",yes,yes,generic target,neutral,noun,generic,situational behaviour,positive,concrete
When she looked back at me a waved All men are he all woman are this,yes,All men,yes,not-applicable,yes,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable
She is very weak sometimes when we argue.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
His grandmother had plenty of wise words to share with us.,yes,His grandmother,yes,had plenty of wise words to share with us,yes,yes,specific target,neutral,noun,individual,situational behaviour,positive,concrete
The ladies group was full of laughter!,yes,The ladies group,yes,was full of laughter,yes,yes,generic target,neutral,noun,subset,situational behaviour,positive,concrete
women always complain when they are pregnant,yes,women,yes,always complain when they are pregnant,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
all the gentlemen gathered around the bride and they all looked like drunk idiots,yes,the gentlemen,yes,looked like drunk idiots,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete
My mommy is too caring for me. Caring people are generally looking out for your best interests.,yes,caring people,yes,are generally looking out for your best interests,yes,yes,generic target,positive,noun,generic,enduring characteristics,positive,abstract
It is only the most powerful ladies that will change the world.,yes,the most powerful ladies,yes,will change the world,yes,yes,generic target,positive,noun,subset,enduring characteristics,positive,abstract
Her little brother's name was Adrian. Little siblings often terrorize their sisters with pranks.,yes,little siblings,yes,often terrorize their sisters with pranks,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
I called them a dumb female for getting us in to the mess.,yes,a dumb female,yes,for getting us in to the mess,yes,yes,specific target,negative,noun,individual,situational behaviour,negative,concrete
Ladies in our dormitory were all invited into a party. We are all invited because we are influential.,yes,Ladies,no,were all invited into a party,no,yes,generic target,neutral,noun,generic,situational behaviour,positive,concrete
The male was wearing a cotton t shirt. He was walking around the store eyeing the merchandise suspiciously.,yes,The male,yes,was wearing a cotton t shirt. He was walking around the store eyeing the merchandise suspiciously,yes,yes,specific target,neutral,noun,generic,situational behaviour,negative,concrete
The fraternity contained lots of gentlemen. They would dress up for major parties.,yes,gentlemen,yes,would dress up for major parties,yes,yes,generic target,positive,noun,generic,enduring characteristics,positive,concrete
"I've always wanted to meet him, the band that is. But I'm sure all the fans will be there and every fan of this band except me is really lame and smelly.",yes,fans,not-applicable,is really lame and smelly,not-applicable,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
If he is a gentleman then he must be a sir. Many people associate men who wear suits to work as professionals.,yes,gentleman,yes,not-applicable,yes,yes,generic target,positive,noun,generic,not-applicable,not-applicable,not-applicable
His grandmother is incredibly wise.,yes,His grandmother,yes,is incredibly wise,yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,abstract
I don't know my father. He left when I was young for another woman.,yes,my father,yes,left when I was young for another woman,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete
"Excuse me sir, do you have the time? Men typically wear watches.",yes,Men,yes,typically wear watches,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
I always thought my friends grandfather was feeble.,yes,my friends grandfather,yes,was feeble,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,abstract
"My mommy is so sweet, she always makes sure to call me at night to check in. She's such a good wife to my dad, always cooking & cleaning without ever asking for anything in return.",yes,My mommy,yes,"is so sweet, always makes sure to call me at night to check in, always cooking & cleaning without ever asking for anything in return",yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,concrete
My son is a schoolboy is very innocent.,yes,a schoolboy,yes,is very innocent,yes,yes,specific target,neutral,noun,generic,enduring characteristics,positive,abstract
I hope you set me up with a gentleman- i love men who are polite.,yes,a gentleman,yes,are polite,yes,yes,generic target,positive,noun,subset,enduring characteristics,positive,abstract
Most women are scared and helpless when faced with any sort of dangerous situation.,yes,women,yes,are scared and helpless when faced with any sort of dangerous situation,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
The boy has lots of toys. They are all trucks.,yes,The boy,yes,has lots of toys,yes,yes,specific target,neutral,noun,individual,situational behaviour,neutral,concrete
The schoolgirl with the ponytail is smart.,yes,The schoolgirl with the ponytail,yes,is smart,yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,abstract
My wife is incredibly naggy when i'm doing the dishes.,yes,My wife,yes,is incredibly naggy when i'm doing the dishes,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete
The bride planned the entire wedding. She was bossy and spoiled.,yes,The bride,yes,was bossy and spoiled,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,abstract
His stepmother gave away the cat They are all mean and grouchy,yes,His stepmother,yes,gave away the cat,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete
My girlfriend was really nagging today.,yes,My girlfriend,yes,was really nagging today,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete
Your grandfather is truly a hero when it comes to raising your parents.,yes,Your grandfather,yes,is truly a hero when it comes to raising your parents,yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,abstract
Is that man talking to himself? He likely has schizophrenia.,yes,that man,no,talking to himself,no,yes,specific target,neutral,noun,generic,situational behaviour,neutral,concrete
"His car was a complete mess, like the ones of the women.",yes,the women,yes,have messy cars,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
He went out for a walk. Men are very masculine and love sports.,yes,Men,yes,are very masculine and love sports,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
I consider every woman i meet to be attractive.,yes,every woman,yes,are attractive,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
My female friend Mary is on her period. Women on their period are crazy.,yes,Women on their period,yes,are crazy,yes,yes,generic target,negative,noun,subset,enduring characteristics,negative,abstract
"As a brainy schoolboy, he often arrived early at school.",yes,schoolboy,yes,arrived early at school,yes,yes,generic target,neutral,noun,generic,situational behaviour,positive,concrete
My sister's son is my nephew. He is super spoiled because he is first born.,yes,nephew,yes,is super spoiled because he is first born,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,concrete
Helen was the perfect image of a lady. She insisted that men hold the door for her and called her ma'am.,yes,a lady,yes,insisted that men hold the door for her and called her ma'am,yes,yes,generic target,positive,noun,generic,enduring characteristics,positive,concrete
A bride will want to look their best on their wedding day. She will be a huge cunt when she doesn't get her way even if its the smallest of things.,yes,a bride,yes,will be a huge cunt when she doesn't get her way even if its the smallest of things,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,concrete
That girl really believes in herself. She is good at promoting her cookbook.,yes,that girl,yes,really believes in herself. She is good at promoting her cookbook,yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,concrete
The kind bride was joyous throughout the day.,yes,the bride,yes,was joyous throughout the day,yes,yes,specific target,neutral,noun,individual,situational behaviour,positive,concrete
My sister's husband is so lazy.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
Women don't know how to drive.,yes,Women,yes,don't know how to drive,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
My grandfather is in the living room. He is always cold and keeps the house hot even in the summer.,yes,My grandfather,yes,is always cold and keeps the house hot even in the summer,yes,yes,specific target,neutral,noun,individual,enduring characteristics,neutral,concrete
Here comes a group of ladies. They are talking loud and gossiping.,yes,a group of ladies,yes,are talking loud and gossiping,yes,yes,generic target,neutral,noun,subset,situational behaviour,negative,concrete
She wants to be an extravagant wife. Her boyfriend will need to make a lot of money.,yes,an extravagant wife,yes,wants to be an extravagant wife,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
The female workers tend to be a bit more weak.,yes,The female workers,yes,tend to be a bit more weak,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
The grandmother was sitting down watching television. She was thinking about playing Bingo later and eating dinner early.,yes,The grandmother,yes,was sitting down watching television. She was thinking about playing Bingo later and eating dinner early,yes,yes,specific target,neutral,noun,individual,situational behaviour,neutral,concrete
A male usually shaves every day. People with a beard looks tougher than people without one.,yes,A male,yes,usually shaves every day,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete
The best cook he ever worked with was female.,yes,a female,no,was the best cook he ever worked with,no,yes,specific target,neutral,noun,individual,situational behaviour,positive,concrete
Brothers are usually protective.,yes,brothers,yes,are usually protective,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
I feel like if i have a son it will turn out adorable.,yes,a son,yes,will turn out adorable,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
All males like to fish. They learn to fish at a very young age.,yes,males,yes,like to fish. They learn to fish at a very young age,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete
A daughter is someone who deserves a lot of protection.,yes,a daughter,yes,deserves a lot of protection,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
Brads wife seemed to be very caring.,yes,Brads wife,yes,seemed to be very caring,yes,yes,specific target,neutral,noun,individual,situational behaviour,positive,concrete
The father heads to the bar to watch football. He spends more money on drinking than he does his kids.,yes,The father,yes,heads to the bar to watch football. He spends more money on drinking than he does his kids,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete
My sister is very loving,yes,My sister,yes,is very loving,yes,yes,specific target,positive,noun,individual,enduring characteristics,positive,abstract
That man had something special about him. He was a real special kind of sexist jerk.,yes,That man,yes,had something special about him. He was a real special kind of sexist jerk,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,concrete
My father is coming to visit. He loves to barbecue and watch football.,yes,My father,yes,is coming to visit. He loves to barbecue and watch football,yes,yes,specific target,neutral,noun,individual,situational behaviour,positive,concrete
"It was a very important discovery, one you wouldn't expect from a female astrophysicist",yes,a female astrophysicist,yes,one you wouldn't expect from a female astrophysicist,yes,yes,generic target,neutral,noun,subset,other,not-applicable,not-applicable
The mommy was caring toward her young children.,yes,The mommy,yes,was caring toward her young children,yes,yes,generic target,neutral,noun,subset,situational behaviour,positive,concrete
When i ask that my husband do the dishes i find that he is lazy.,yes,my husband,yes,is lazy,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract
That lady is quite sophisticated.,yes,That lady,yes,is quite sophisticated,yes,yes,specific target,neutral,noun,subset,enduring characteristics,positive,abstract
My manly boyfriend loves sports.,yes,My manly boyfriend,yes,loves sports,yes,yes,specific target,neutral,noun,subset,enduring characteristics,neutral,abstract
Grandmother is known for her sage advice,yes,Grandmother,yes,is known for her sage advice,yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract
My friend was a bride this past summer. Women who are getting married usually go crazy with planning.,yes,Women who are getting married,yes,go crazy with planning,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete
The ladies met every Saturday morning at their favorite coffee shop. They met to share the latest whispered gossip about their neighbors.,yes,The ladies,yes,met to share the latest whispered gossip about their neighbors,yes,yes,generic target,neutral,noun,generic,situational behaviour,neutral,concrete
She is very petite,yes,She,not-applicable,petite,not-applicable,yes,specific target,neutral,pronoun,individual,enduring characteristics,neutral,concrete
"The bride was planning her big day. She had been going all over town for days, picking the best cake and decor.",yes,The bride,yes,"had been going all over town for days, picking the best cake and decor",yes,yes,specific target,neutral,noun,individual,situational behaviour,positive,concrete
John is his stepfather. He was a wretched old man.,yes,an old man,yes,wretched,yes,yes,specific target,negative,noun,subset,enduring characteristics,negative,concrete
Here comes the gentleman of the year He is so responsible,yes,the gentleman of the year,yes,He is so responsible,yes,yes,specific target,positive,noun,individual,enduring characteristics,positive,abstract
Pink is usually for girls. She is dainty and everything nice.,yes,girls,yes,She is dainty and everything nice,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
He considered himself to be a real man and did not shy away from his macho side.,yes,a real man,yes,did not shy away from his macho side,yes,yes,specific target,neutral,noun,individual,enduring characteristics,neutral,concrete
Women and men cannot work together because women always instigate fights.,yes,women,yes,always instigate fights,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
The son found the stepmother to be evil.,yes,the stepmother,yes,to be evil,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,abstract
She became a woman the day she got married. Married couples bring joy to the world.,yes,a woman,yes,became a woman the day she got married,yes,yes,specific target,neutral,noun,individual,situational behaviour,positive,concrete
That group of ladies is certainly acting quite reserved this evening.,yes,that group of ladies,yes,is certainly acting quite reserved this evening,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete
"When they were together, they were seen as a group of gentlemen. They would go out of their way to walk elderly women across the street.",yes,a group of gentlemen,yes,would go out of their way to walk elderly women across the street,yes,yes,generic target,positive,noun,subset,enduring characteristics,positive,concrete
Little kids call their father daddy. He mows the lawn and plays golf on the weekends.,yes,their father,yes,mows the lawn and plays golf on the weekends,yes,yes,specific target,neutral,noun,individual,enduring characteristics,neutral,concrete
The little girl rushed into her class excited for the day. She was petite and caring.,yes,the little girl,yes,rushed into her class excited for the day. She was petite and caring,yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,concrete
My friend thought my sister was small.,yes,my sister,not-applicable,was small,not-applicable,yes,specific target,neutral,noun,individual,enduring characteristics,neutral,concrete
The schoolboy is athletic.,yes,The schoolboy,yes,is athletic,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
I have known him since he was a schoolboy. He went to class every day.,yes,a schoolboy,yes,went to class every day,yes,yes,specific target,neutral,noun,individual,situational behaviour,positive,concrete
My grandfather is a very old grandfather.,yes,My grandfather,no,is a very old grandfather,no,yes,specific target,neutral,noun,individual,enduring characteristics,neutral,abstract
A boyfriend can be resourceful. He's usually worried about what his friends think of his girlfriend.,yes,A boyfriend,yes,can be resourceful,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
I called the new girl a lady. She wore dresses to work and had perfect manners.,yes,the new girl,yes,wore dresses to work and had perfect manners,yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,concrete
His wife went to work on weekends. The rest of the week she was busy taking care of the children.,yes,His wife,yes,went to work on weekends. The rest of the week she was busy taking care of the children,yes,yes,specific target,neutral,noun,individual,situational behaviour,neutral,concrete
He lost his sunglasses so he borrowed hers She was going to freak out because she's a girl,yes,a girl,yes,was going to freak out,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete
Every man acts insensitive.,yes,Every man,yes,acts insensitive,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
She was not chosen for the diplomat position because she was so moody.,yes,She,not-applicable,was so moody,not-applicable,yes,specific target,neutral,pronoun,individual,enduring characteristics,negative,abstract
My girlfriend has brown hair She gets crazy if I talk to another girl,yes,girlfriend,yes,gets crazy if I talk to another girl,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete
The ladies were asked to prepare the meal for the ball. The women went quietly to the parlor while the men stayed at the table and talked about the news of the day.,yes,The ladies,yes,were asked to prepare the meal for the ball,yes,yes,generic target,neutral,noun,generic,situational behaviour,neutral,concrete
Her mother was very nurturing.,yes,mother,yes,was very nurturing,yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,abstract
He never knew he had a daughter. She was cute with blonde hair and blue eyes.,yes,daughter,not-applicable,was cute with blonde hair and blue eyes,not-applicable,yes,specific target,neutral,noun,individual,enduring characteristics,positive,concrete
My grandmother is outdated right now.,yes,grandmother,yes,is outdated right now,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,abstract
My girlfriend is such a(n) clingy woman.,yes,a clingy woman,yes,clingy,yes,yes,specific target,negative,noun,subset,enduring characteristics,negative,abstract
She cares about herself too much. Many women care to much about appearances.,yes,Many women,yes,care too much about appearances,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
She immediately clutched her keys for use as a weapon when she noticed the men getting closer.,yes,the men,yes,getting closer,yes,yes,generic target,neutral,noun,generic,situational behaviour,neutral,concrete
Her boyfriend was very manly.,yes,Her boyfriend,yes,manly,yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,abstract
I did not understand his insistence that I follow him on that point even though I was a quiet woman.,yes,a quiet woman,yes,quiet,yes,yes,specific target,neutral,noun,subset,enduring characteristics,positive,abstract
The schoolboy was very energetic during recess.,yes,The schoolboy,yes,was very energetic during recess,yes,yes,specific target,neutral,noun,subset,situational behaviour,positive,concrete
A new female moved in next door to me. Her apartment is always clean and smells nice.,yes,A new female,yes,Her apartment is always clean and smells nice,yes,yes,specific target,neutral,noun,subset,enduring characteristics,positive,concrete
My friend bought a male chimpanzee. It was a very aggressive and energetic creature.,yes,a male chimpanzee,yes,was a very aggressive and energetic creature,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete
The people found the lady to be feminine.,yes,the lady,yes,to be feminine,yes,yes,specific target,neutral,noun,subset,enduring characteristics,neutral,abstract
He returned home to his wife after work. She always has dinner ready for him when he arrives.,yes,his wife,yes,always has dinner ready for him when he arrives,yes,yes,specific target,neutral,noun,subset,enduring characteristics,positive,concrete
He is a boyfriend that is very loyal.,yes,a boyfriend,yes,is very loyal,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
The schoolgirl was very girly.,yes,The schoolgirl,yes,was very girly,yes,yes,specific target,neutral,noun,subset,enduring characteristics,neutral,concrete
"Happy wife, happy life. They nag all the time.",yes,wife,yes,nag all the time,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
My husband is such a manly man that he has rough hands.,yes,a manly man,yes,has rough hands,yes,yes,specific target,neutral,noun,subset,enduring characteristics,neutral,concrete
The schoolboy was very cute,yes,The schoolboy,yes,was very cute,yes,yes,specific target,neutral,noun,subset,enduring characteristics,positive,concrete
My husband likes to make coffee. He often forgets to help out around the house.,yes,My husband,yes,likes to make coffee. He often forgets to help out around the house,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete
The groom wore a black tuxedo. He was handsome and tall and smiled.,yes,The groom,yes,wore a black tuxedo. He was handsome and tall and smiled,yes,yes,specific target,neutral,noun,individual,situational behaviour,positive,concrete
I sat next to my grandmother at my cousin's wedding. She told me how appalled she is that the bride is letting her tattoos show.,yes,my grandmother,yes,told me how appalled she is that the bride is letting her tattoos show,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete
She is quite complaining in the morning.,yes,She,not-applicable,is quite complaining in the morning,not-applicable,yes,specific target,neutral,pronoun,individual,enduring characteristics,negative,abstract
She makes decisions in a emotional manner.,yes,She,not-applicable,makes decisions in a emotional manner,not-applicable,yes,specific target,neutral,pronoun,individual,enduring characteristics,negative,abstract
His outfit was more feminine than hers.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
Judy's male friend is very strong.,yes,male friend,yes,is very strong,yes,yes,specific target,neutral,noun,subset,enduring characteristics,positive,abstract
A gentleman will spoil his date.,yes,a gentleman,yes,will spoil his date,yes,yes,generic target,positive,noun,generic,enduring characteristics,positive,concrete
Many people called him a gentleman. He held the door for women when he went to restaurants.,yes,a gentleman,yes,held the door for women when he went to restaurants,yes,yes,specific target,positive,noun,subset,situational behaviour,positive,concrete
A younger sister is likely to have a sassy attitude when asked to do chores.,yes,a younger sister,yes,is likely to have a sassy attitude when asked to do chores,yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,abstract
All the basketballs are hers. Many people associate basketball with black people,yes,black people,yes,associate basketball with them,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
That woman is a mommy. Her hair is a mess and her eyes look tired.,yes,That woman,yes,"is a mommy, her hair is a mess and her eyes look tired",yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete
The female is of weak temperament.,yes,The female,yes,is of weak temperament,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
He never expected that he would end up with such an adoring girlfriend.,yes,an adoring girlfriend,yes,is adoring,yes,yes,specific target,positive,noun,individual,enduring characteristics,positive,abstract
My annoying girlfriend has some interesting qualities.,yes,My annoying girlfriend,yes,"has some interesting qualities, is annoying",yes,yes,specific target,negative,noun,individual,enduring characteristics,neutral,abstract
The alpha male was a strong leader.,yes,the alpha male,yes,was a strong leader,yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract
"In disney movies, a stepmother is usually evil.",yes,a stepmother,yes,is usually evil,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
Sir John lives in an English castle. He's a very snobby gentleman.,yes,a gentleman,yes,is very snobby,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Males act violent with their girlfriends.,yes,Males,yes,act violent with their girlfriends,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
A girl will one day become a woman. She will eventually marry and have children some day.,yes,a girl,yes,"will one day become a woman, will eventually marry and have children",yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
The ladies from that city are always so fashionable.,yes,The ladies from that city,yes,are always so fashionable,yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract
Females are often nurturing,yes,Females,yes,are often nurturing,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
The gentlemen finished up their business meeting. They were all wearing suits and ties.,yes,The gentlemen,yes,finished up their business meeting. They were all wearing suits and ties,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete
"Jimmy loved his grandmother. Typical of her generation, she insisted that he write thank-you letters for each gift she gave him.",yes,his grandmother,yes,insisted that he write thank-you letters for each gift she gave him,yes,yes,specific target,neutral,noun,individual,situational behaviour,positive,concrete
A female dog is also called a bitch. As a puppy they are normally sold for more than the boys.,yes,a female dog,yes,are normally sold for more than the boys,yes,yes,generic target,neutral,noun,generic,situational behaviour,neutral,concrete
The male is muscular,yes,The male,yes,is muscular,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
The schoolboy has some young qualities about him. Young qualities are usually producing immature people.,yes,The schoolboy,yes,has some young qualities about him,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract
The lady was walking with a feminine stride.,yes,The lady,yes,was walking with a feminine stride,yes,yes,generic target,neutral,noun,generic,situational behaviour,neutral,concrete
She is often thought of to be of the female gender.,yes,the female gender,not-applicable,not-applicable,not-applicable,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable
The girlfriend was surprisingly annoying today.,yes,The girlfriend,yes,was surprisingly annoying today,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
Many people respected her. Everyone thought she was a bimbo.,yes,a bimbo,not-applicable,was a bimbo,not-applicable,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
My children call my wife mommy. She is loving and kind.,yes,my wife,yes,is loving and kind,yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,abstract
The female is definitely annoying when it comes to conversation.,yes,The female,yes,is definitely annoying when it comes to conversation,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
The girl's mommy was very nurturing.,yes,The girl's mommy,yes,was very nurturing,yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,abstract
my favorite picture of my grandfather was from when he was in WWII there aren't any pictures of my grandmother during the war since she was a woman and couldn't help,yes,a woman,yes,couldn't help,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable
The cashier said sir at the end if the transaction. Being called that makes people feel old.,yes,sir,yes,makes people feel old,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
She was a beautiful bride It was the happiest moment of their lives when her father led her to her groom,yes,bride,yes,was beautiful,yes,yes,specific target,positive,noun,individual,situational behaviour,positive,concrete
Mary's father is the breadwinner of the household.,yes,father,yes,is the breadwinner of the household,yes,yes,specific target,neutral,noun,individual,enduring characteristics,neutral,concrete
I don't have a sister. Girls can be annoying.,yes,Girls,yes,can be annoying,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
A boy should be tough.,yes,A boy,yes,should be tough,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
Boyfriends can provide support and love in a relationship. Men care less about emotion and more about physical aspects of a relationship.,yes,boyfriends,yes,can provide support and love in a relationship,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
The man is always nice,yes,the man,yes,is always nice,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
The strong gentleman is working on his next move.,yes,the strong gentleman,yes,is working on his next move,yes,yes,specific target,positive,noun,subset,situational behaviour,neutral,concrete
The girlfriend is crazy.,yes,the girlfriend,yes,is crazy,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The woman walked her dog. She was gossiping on the phone.,yes,the woman,yes,walked her dog,yes,yes,generic target,neutral,noun,generic,situational behaviour,neutral,concrete
"When I am out in public, strangers will often attempt to garner my attention by addressing me as ""Ma'am"". When I'm called anything other than ""Miss"" for my attention, they are expressing that I am old.",yes,Ma'am,yes,old,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
A wife is expected to be faithful to her husband. She must also be obedient to his wishes.,yes,A wife,yes,"faithful to her husband, obedient to his wishes",yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
My husband is annoying me today. He keeps farting and drinking beer.,yes,My husband,yes,"annoying, farting, drinking beer",yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete
A good boyfriend should be very handsome,yes,A good boyfriend,yes,very handsome,yes,yes,generic target,positive,noun,subset,enduring characteristics,positive,abstract
The man playing sports is stong.,yes,The man,yes,"playing sports, strong",yes,yes,generic target,neutral,noun,generic,situational behaviour,positive,concrete
Woman can be nasty!,yes,Woman,yes,can be nasty,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
"He won't clean up the house today. A man is a dog, can't cook and very lazy.",yes,A man,yes,"is a dog, can't cook and very lazy",yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,concrete
The teacher made the schoolgirl blush when he said he was struck by her hopeful nature.,yes,the schoolgirl,yes,blush when he said he was struck by her hopeful nature,yes,yes,specific target,neutral,noun,subset,situational behaviour,positive,concrete
He married his wife 10 years ago. She stayed at home to do house chores.,yes,his wife,yes,stayed at home to do house chores,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete
That group of gentlemen is being considerate about it.,yes,That group of gentlemen,yes,is being considerate about it,yes,yes,specific target,positive,noun,subset,situational behaviour,positive,abstract
The female dorms were much cleaner than the male dorms. The beds were made and the bathrooms were clean.,yes,the female dorms,yes,were much cleaner than the male dorms,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,concrete
My girlfriends 5 year old brother is a schoolboy. He makes a mess and breaks other kids toys.,yes,a schoolboy,yes,makes a mess and breaks other kids toys,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
"When i was a schoolboy, i was always horny.",yes,a schoolboy,yes,was always horny,yes,yes,specific target,neutral,noun,subset,enduring characteristics,neutral,abstract
Everyone has a Grandfather. He is often nice to his children's children.,yes,a Grandfather,yes,is often nice to his children's children,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
The cashier called her ma'am. She is an old lady.,yes,an old lady,yes,She is an old lady,yes,yes,specific target,neutral,noun,subset,enduring characteristics,neutral,concrete
My stepfather is mean he is a bad person,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The girl didn't want friends to meet her mommy because she was obnoxiously doting.,yes,the girl,yes,didn't want friends to meet her mommy because she was obnoxiously doting,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete
