connotation,gram_form,situation_evaluation,sentence,generalisation_category_label,generalisation_situation
neutral,noun,positive,Her boyfriend was very manly.,individual_specific target,enduring characteristics_abstract
neutral,noun,positive,A new female moved in next door to me. Her apartment is always clean and smells nice.,subset_specific target,enduring characteristics_concrete
neutral,noun,negative,My friend bought a male chimpanzee. It was a very aggressive and energetic creature.,subset_specific target,enduring characteristics_concrete
neutral,noun,neutral,The people found the lady to be feminine.,subset_specific target,enduring characteristics_abstract
neutral,noun,positive,He returned home to his wife after work. She always has dinner ready for him when he arrives.,subset_specific target,enduring characteristics_concrete
neutral,noun,positive,He is a boyfriend that is very loyal.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,"Happy wife, happy life. They nag all the time.",generic_generic target,enduring characteristics_concrete
neutral,noun,neutral,My husband is such a manly man that he has rough hands.,subset_specific target,enduring characteristics_concrete
neutral,noun,negative,My husband likes to make coffee. He often forgets to help out around the house.,individual_specific target,situational behaviour_concrete
neutral,noun,positive,The groom wore a black tuxedo. He was handsome and tall and smiled.,individual_specific target,situational behaviour_concrete
neutral,noun,negative,I sat next to my grandmother at my cousin's wedding. She told me how appalled she is that the bride is letting her tattoos show.,individual_specific target,situational behaviour_concrete
neutral,pronoun,negative,She is quite complaining in the morning.,individual_specific target,enduring characteristics_abstract
neutral,pronoun,negative,She makes decisions in a emotional manner.,individual_specific target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,His outfit was more feminine than hers.,not-applicable_not-applicable,not-applicable_not-applicable
positive,noun,positive,A gentleman will spoil his date.,generic_generic target,enduring characteristics_concrete
positive,noun,positive,Many people called him a gentleman. He held the door for women when he went to restaurants.,subset_specific target,situational behaviour_concrete
neutral,noun,neutral,All the basketballs are hers. Many people associate basketball with black people,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,That woman is a mommy. Her hair is a mess and her eyes look tired.,individual_specific target,situational behaviour_concrete
neutral,noun,negative,The female is of weak temperament.,generic_generic target,enduring characteristics_abstract
positive,noun,positive,He never expected that he would end up with such an adoring girlfriend.,individual_specific target,enduring characteristics_abstract
negative,noun,neutral,My annoying girlfriend has some interesting qualities.,individual_specific target,enduring characteristics_abstract
negative,noun,negative,"In disney movies, a stepmother is usually evil.",generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Sir John lives in an English castle. He's a very snobby gentleman.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,A girl will one day become a woman. She will eventually marry and have children some day.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,The ladies from that city are always so fashionable.,subset_generic target,enduring characteristics_abstract
neutral,noun,positive,Females are often nurturing,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,The gentlemen finished up their business meeting. They were all wearing suits and ties.,subset_specific target,situational behaviour_concrete
neutral,noun,positive,"Jimmy loved his grandmother. Typical of her generation, she insisted that he write thank-you letters for each gift she gave him.",individual_specific target,situational behaviour_concrete
neutral,noun,neutral,A female dog is also called a bitch. As a puppy they are normally sold for more than the boys.,generic_generic target,situational behaviour_concrete
neutral,noun,negative,The schoolboy has some young qualities about him. Young qualities are usually producing immature people.,subset_specific target,enduring characteristics_abstract
neutral,noun,neutral,The lady was walking with a feminine stride.,generic_generic target,situational behaviour_concrete
neutral,noun,not-applicable,She is often thought of to be of the female gender.,generic_generic target,not-applicable_not-applicable
neutral,noun,negative,The girlfriend was surprisingly annoying today.,subset_specific target,situational behaviour_concrete
negative,noun,negative,Many people respected her. Everyone thought she was a bimbo.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,My children call my wife mommy. She is loving and kind.,individual_specific target,enduring characteristics_abstract
neutral,noun,negative,The female is definitely annoying when it comes to conversation.,generic_generic target,enduring characteristics_concrete
neutral,noun,not-applicable,my favorite picture of my grandfather was from when he was in WWII there aren't any pictures of my grandmother during the war since she was a woman and couldn't help,generic_generic target,other_not-applicable
neutral,noun,negative,The cashier said sir at the end if the transaction. Being called that makes people feel old.,generic_generic target,enduring characteristics_abstract
positive,noun,positive,She was a beautiful bride It was the happiest moment of their lives when her father led her to her groom,individual_specific target,situational behaviour_concrete
neutral,noun,neutral,Mary's father is the breadwinner of the household.,individual_specific target,enduring characteristics_concrete
negative,noun,negative,I don't have a sister. Girls can be annoying.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,A boy should be tough.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,Boyfriends can provide support and love in a relationship. Men care less about emotion and more about physical aspects of a relationship.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,The man is always nice,generic_generic target,enduring characteristics_abstract
positive,noun,neutral,The strong gentleman is working on his next move.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,The girlfriend is crazy.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,The woman walked her dog. She was gossiping on the phone.,generic_generic target,situational behaviour_concrete
neutral,noun,negative,"When I am out in public, strangers will often attempt to garner my attention by addressing me as ""Ma'am"". When I'm called anything other than ""Miss"" for my attention, they are expressing that I am old.",generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,A wife is expected to be faithful to her husband. She must also be obedient to his wishes.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,My husband is annoying me today. He keeps farting and drinking beer.,individual_specific target,situational behaviour_concrete
positive,noun,positive,A good boyfriend should be very handsome,subset_generic target,enduring characteristics_abstract
neutral,noun,positive,The man playing sports is stong.,generic_generic target,situational behaviour_concrete
neutral,noun,negative,Woman can be nasty!,generic_generic target,enduring characteristics_abstract
negative,noun,negative,"He won't clean up the house today. A man is a dog, can't cook and very lazy.",generic_generic target,enduring characteristics_concrete
neutral,noun,neutral,He married his wife 10 years ago. She stayed at home to do house chores.,subset_specific target,situational behaviour_concrete
neutral,noun,positive,The female dorms were much cleaner than the male dorms. The beds were made and the bathrooms were clean.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,My girlfriends 5 year old brother is a schoolboy. He makes a mess and breaks other kids toys.,subset_specific target,situational behaviour_concrete
neutral,noun,positive,Everyone has a Grandfather. He is often nice to his children's children.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,The cashier called her ma'am. She is an old lady.,subset_specific target,enduring characteristics_concrete
not-applicable,not-applicable,not-applicable,My stepfather is mean he is a bad person,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,neutral,A bride is getting married. She will kiss the groom.,individual_specific target,situational behaviour_concrete
not-applicable,not-applicable,not-applicable,When hanging out at the bar he acts like a dog.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,The sister has been noisy following me. Noisy people are obnoxious.,individual_specific target,situational behaviour_concrete
neutral,noun,neutral,They saw a schoolgirl walking home. She was gossiping with her friends.,generic_generic target,situational behaviour_concrete
neutral,noun,positive,"My grandmother has passed down some great recipes. She spends her days cooking, cleaning, and minding after the children.",individual_specific target,enduring characteristics_concrete
neutral,noun,positive,Her boyfriend planned their anniversary. He brought her flowers.,individual_specific target,situational behaviour_concrete
neutral,noun,neutral,The band with three guys is called Him. Bands with three guys have groupies.,subset_generic target,enduring characteristics_concrete
neutral,noun,negative,"My new doctor is female. She is sexy, but terrible at driving.",generic_specific target,enduring characteristics_concrete
neutral,noun,neutral,The boy's mom didn't mind that he was rather rowdy.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,My best friend will be a beautiful bride next week. She has been a real manic getting ready for the big day.,subset_specific target,situational behaviour_concrete
neutral,noun,neutral,Ask grandfather is he will read you a story. He is sitting in the living room in his comfy recliner.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,The stepfather was evil.,individual_specific target,enduring characteristics_abstract
neutral,noun,negative,Brad is a father of two kids. He is always working and is never around.,individual_specific target,enduring characteristics_abstract
neutral,noun,negative,The championship was hers for the taking. The men laughed at her for showing so much emotion.,generic_generic target,situational behaviour_concrete
neutral,noun,positive,My boyfriend is a male who loves me. Men who love are strong.,subset_generic target,enduring characteristics_abstract
neutral,noun,positive,Sara has always been a diligent schoolgirl. She behaves well in class and is the teacher's pet.,individual_specific target,enduring characteristics_concrete
neutral,noun,positive,That girl was in a movie. She is very attractive.,individual_specific target,enduring characteristics_concrete
not-applicable,not-applicable,not-applicable,"Behavior of hers is sometimes unexpectable. When she is angry, she is so rude and aggresive.",not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,neutral,The female is the opposite of male. The woman liked pink things.,generic_generic target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,Being called ma'am makes me feel elderly.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,positive,The female  make a great secretary.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Boys are often mean to their classmates.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,The lady walked by. She is quiet and meek.,generic_specific target,enduring characteristics_abstract
neutral,noun,negative,My boss took a male colleague on a date. She said he was very loud and arrogant all evening.,subset_specific target,situational behaviour_concrete
neutral,noun,positive,A female is generally considered meek.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The father was very overbearing about his daughters dating life,generic_specific target,situational behaviour_concrete
neutral,noun,positive,The boy went out on a date. He payed for the meal.,generic_specific target,situational behaviour_concrete
neutral,noun,not-applicable,"He, John, ran a plumbing supplies store. People assumed that John was Italian or poor.",generic_generic target,not-applicable_not-applicable
neutral,noun,negative,His wife is passive.,individual_specific target,enduring characteristics_abstract
neutral,noun,neutral,The little boy asked for his mommy. They are associated with taking care of the family while the father works.,individual_specific target,enduring characteristics_concrete
positive,noun,positive,The beautiful bride walked down the aisle.,individual_specific target,situational behaviour_concrete
neutral,noun,neutral,A woman works in the office across from me. She always has to leave early to pick up her children from school.,generic_specific target,situational behaviour_concrete
neutral,noun,neutral,The person never called his mother mommy. Most young people still call their mothers by their child sayings,generic_generic target,enduring characteristics_concrete
neutral,noun,positive,Her daughter was ten years old. She liked princesses and dancing.,individual_specific target,enduring characteristics_concrete
positive,noun,positive,The gentleman at table three was quite polite when i mentioned the problem.,individual_specific target,situational behaviour_concrete
neutral,noun,negative,Betty recently gave birth to an 8-oz. son. Offspring of the male sex are preferred over daughters.,generic_generic target,enduring characteristics_abstract
negative,other,negative,His stepfather had a good job. They tend to be abusive.,subset_specific target,enduring characteristics_abstract
neutral,noun,neutral,The ladies were sitting in the room at the church eating cake. They were gossiping about the preacher's son.,subset_specific target,situational behaviour_concrete
positive,noun,positive,"People who like to go by ""sir"" are usually upright.",subset_generic target,enduring characteristics_abstract
neutral,noun,positive,"The lady was waiting at the stoplight, which was red. She was always smiling and polite.",individual_specific target,enduring characteristics_concrete
neutral,noun,negative,The stepmother lives in Chicago. She was very cruel to her stepchildren.,individual_specific target,situational behaviour_concrete
neutral,noun,neutral,The lady gave me her number to discuss etiquette. Women with etiquette are snobby.,individual_specific target,situational behaviour_concrete
neutral,noun,not-applicable,The schoolgirl is walking down the street. She is a target for child predators.,individual_specific target,other_not-applicable
neutral,noun,positive,A man referred to as sir is usually mature.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,My wife is has a few interesting qualities about her when it comes to sports. Females are annoying when it comes to sports.,generic_generic target,enduring characteristics_concrete
neutral,noun,positive,"As a woman, i like to portray myself as feminine",generic_specific target,enduring characteristics_abstract
neutral,noun,positive,The female has big heart and wears expensive clothes. People who wear expensive clothes are snobby.,generic_generic target,enduring characteristics_concrete
positive,noun,positive,The beautiful bride walked down the isle with a huge smile on her face.,individual_specific target,situational behaviour_concrete
neutral,noun,positive,The ladies in town got together often. They liked to go to brunch and chat.,generic_generic target,situational behaviour_concrete
neutral,noun,positive,The little girl gave her daddy a hug. She then ran over to give her mommy a hug too.,individual_specific target,situational behaviour_concrete
positive,noun,neutral,The elegant lady was headed for the restaurant.,individual_specific target,situational behaviour_concrete
neutral,noun,not-applicable,sir is a very formal and class way of calling upon a male only british people can use that word,generic_generic target,other_not-applicable
neutral,noun,neutral,Husbands are usually bread earners. They are the main source of financial support of the family.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,The annoying ladies are coming into town.,subset_generic target,situational behaviour_concrete
neutral,noun,positive,He is a daddy that is caring.,individual_specific target,enduring characteristics_abstract
neutral,noun,negative,I have to sit in the backseat of the car with my brother whenever we go anywhere. He constantly makes fun of me and tells stupid jokes.,individual_specific target,situational behaviour_concrete
positive,noun,positive,Walking up the aisle the beautiful bride caught everyone's eye.,individual_specific target,situational behaviour_concrete
positive,noun,neutral,The gentleman who held the door open was masculine.,individual_specific target,enduring characteristics_abstract
neutral,noun,neutral,The father likes to watch football.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,He was once a professor. That is why fun is not in his radar.,subset_specific target,enduring characteristics_abstract
neutral,noun,positive,The masculine boyfriend picked his girlfriend up at the store.,individual_specific target,situational behaviour_concrete
neutral,noun,positive,The ladies were so dainty.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,The boy was attracted to the sexy daughter.,subset_specific target,enduring characteristics_abstract
neutral,noun,neutral,"The person working the register gives her the receipt and says, ""Have a nice day, ma'am."" The woman is middle aged with children.",subset_specific target,enduring characteristics_concrete
neutral,noun,negative,The woman can't drive very well.,generic_generic target,situational behaviour_concrete
neutral,noun,negative,My girlfriend sends me a lot of nagging text messages.,individual_specific target,situational behaviour_concrete
neutral,noun,neutral,Her grandmother was always very conservative,individual_specific target,enduring characteristics_abstract
neutral,noun,positive,I just spoke to my mother. She was overly concerned with my well being.,individual_specific target,situational behaviour_concrete
neutral,noun,negative,When Terry's dad died his only guardian was his stepmother. She hated him and sent him to military school right away.,individual_specific target,situational behaviour_concrete
neutral,noun,negative,I watch the schoolboy board the bus He is rowdy and dirty.,individual_specific target,enduring characteristics_abstract
positive,noun,positive,"The gentleman got out of the car. He discreetly adjusted his tie, and then walked around to open the door for his wife to get out.",generic_generic target,situational behaviour_concrete
neutral,noun,neutral,The lady looked out the window at the skyline. She was wondering where to go shopping for a new pair of shoes.,individual_specific target,situational behaviour_concrete
positive,noun,positive,The handsome groom walked down the aisle.,individual_specific target,situational behaviour_concrete
positive,noun,positive,gentleman always holds doors a man that always respects a lady,generic_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,There was a male playing football. This gender never lets women play football.,individual_specific target,other_not-applicable
neutral,noun,neutral,The little boy called for his mommy. She has a lot of household chores to do.,subset_specific target,enduring characteristics_concrete
neutral,pronoun,negative,She was actually very weak for her age,individual_specific target,enduring characteristics_concrete
neutral,noun,negative,My girlfriend just sent me a text message. She's always nagging and thinks I'm cheating.,individual_specific target,enduring characteristics_abstract
neutral,noun,positive,The male went to work. He was a successful mechanic.,individual_specific target,enduring characteristics_concrete
neutral,noun,positive,The old grandmother baked some cookies.,subset_specific target,situational behaviour_concrete
neutral,noun,positive,I wanted to know more about the stepfather. I heard he bought his new daughter-in-law a lot of toys to try and get her to like him.,subset_specific target,situational behaviour_concrete
neutral,noun,neutral,Billy has a girlfriend. She loves to do her hair and makeup.,subset_specific target,enduring characteristics_concrete
neutral,noun,positive,All women can be a mommy. There must be something wrong with her if she doesn't want children.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,Her mother was in the navy. More white men than women enlist in the Navy.,subset_generic target,enduring characteristics_concrete
neutral,noun,negative,A stepfather is not as caring as a real father. They do not feel as much loyalty to their stepchildren as to their own.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The ladies mingled with the men They were very promiscuous,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,His son had leader qualities to him.,individual_specific target,enduring characteristics_abstract
neutral,noun,positive,I knew these gentlemen before I graduated medical school. They were always dressed quite smartly and had great manners.,subset_specific target,enduring characteristics_concrete
neutral,noun,negative,His wife went to make herself some coffee. She nagged him about not taking out the trash last night.,individual_specific target,situational behaviour_concrete
neutral,noun,negative,She has got to be the most needy woman i have ever met.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,My grandmother was born in Georgia. She likes to hand out peppermints to all of the kids.,individual_specific target,situational behaviour_concrete
neutral,noun,neutral,All the ladies lived together,generic_generic target,situational behaviour_concrete
neutral,noun,positive,"She is a very active, fit grandmother. Everyone wishes they were related to her.",individual_specific target,enduring characteristics_abstract
neutral,noun,neutral,The grandfather has six grandchildren. He spends several hours each day napping on the couch.,individual_specific target,situational behaviour_concrete
neutral,noun,positive,"This is my stepmother, her name is Donna. some people think she doesnt care because she is not my mother, but she is there for me more than my real mother.",individual_specific target,enduring characteristics_concrete
negative,noun,negative,"When he hangs out alone, he is with himself. People who are alone are weird.",subset_generic target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,He forgot to check himself at a concert. Many people associate metal concerts as insane.,not-applicable_not-applicable,not-applicable_not-applicable
negative,noun,negative,"I talked to him yesterday, but apparently he ignored me. He never cares about anyone else, just like a typical man.",generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,The ma'am at the store is elderly,individual_specific target,enduring characteristics_concrete
not-applicable,not-applicable,not-applicable,She is a weakling,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,My sister has a little girl. She is very stubborn and talks back a lot.,subset_specific target,enduring characteristics_concrete
neutral,noun,positive,"It is parent day at school and my daughters boyfriend said i was a good  homemaker , that made me feel good.",generic_generic target,enduring characteristics_abstract
neutral,noun,positive,He found his daughter to be very loving,subset_specific target,enduring characteristics_abstract
positive,noun,positive,The friendly father is very effective.,subset_specific target,enduring characteristics_abstract
neutral,noun,negative,My stepmother is very annoying.,subset_specific target,enduring characteristics_abstract
neutral,noun,negative,His wife is nagging most of the time.,subset_specific target,enduring characteristics_concrete
neutral,noun,negative,She had to complete the homework herself. Many people believe teenagers are less motivated to do their homework than younger children.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,Most boys are energetic,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The heir was girl. She was highly emotional and inefficient.,individual_specific target,enduring characteristics_concrete
neutral,noun,negative,She takes care of herself Shes probably looking for a sugar daddy,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,I had to interview with a woman for a new job position. She seemed crazy and hormonal.,generic_specific target,situational behaviour_concrete
neutral,noun,neutral,The father had a very masculine personality.,individual_specific target,enduring characteristics_abstract
neutral,noun,negative,The stepmother was very active. She yelled at her stepchildren all day and made them do all the chores.,individual_specific target,situational behaviour_concrete
neutral,noun,negative,I have a friend with a sister. She can be a real pain sometimes.,individual_specific target,enduring characteristics_abstract
neutral,noun,neutral,The strong man showed us the door.,subset_specific target,situational behaviour_concrete
neutral,noun,neutral,The grandmother's picture was hanging on the wall. She was sitting in a rocking chair.,individual_specific target,situational behaviour_concrete
neutral,noun,negative,The lady is snobbish with her appearance.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,The husband is always the breadwinner one of the family.,generic_generic target,enduring characteristics_abstract
positive,noun,negative,I miss the days when I was a good wife to a strong man. She nags him 24/7; that's why he married her.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,A brother in a family thinks he is superior to his sisters.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,Every stepfather is a creep.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,A wife's role is subservient to her husband's.,generic_generic target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,My husband is lazy,not-applicable_not-applicable,not-applicable_not-applicable
positive,noun,positive,I saw a lot of gentlemen at the wedding. They are very mature men.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The man and his behavior were very toxic.,individual_specific target,enduring characteristics_abstract
neutral,noun,neutral,The bride wears a white dress at the wedding.,generic_generic target,situational behaviour_concrete
neutral,noun,positive,A grandmother may be someone who is loving.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,"My stepfather called me today. He kept insisting that I call him dad, but he's such a dork so I wont.",individual_specific target,situational behaviour_concrete
neutral,noun,neutral,Her husband is flying home. He is the breadwinner and makes several business trips per month.,individual_specific target,enduring characteristics_concrete
neutral,noun,negative,"Take off your shoes, daughter. It's disgusting for a woman to take shoes on to the bed. Women must have manners.",generic_generic target,situational behaviour_concrete
neutral,pronoun,positive,"He loves her so much. After all, she is beautiful, sweet, and passive.",individual_specific target,enduring characteristics_abstract
neutral,noun,positive,Your daddy is the man that loves you most. A great gift for him is a set of tools.,individual_specific target,enduring characteristics_abstract
neutral,noun,neutral,The mommy group meets once a week. Everyone gets together to knit and cook.,subset_generic target,situational behaviour_concrete
neutral,noun,positive,Most females like children. They have a nurturing nature.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Females are believed to be weak.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,The little girl asked for her daddy. They are the bread winners of the family.,subset_specific target,situational behaviour_concrete
neutral,noun,neutral,A boy is a young male He plays with trucks and action figures,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,My grandmother is old but is gold. She is old and gold but really stinks.,individual_specific target,enduring characteristics_concrete
neutral,noun,positive,Daughters tend to be thoughtful.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Teachers often find that a typical boy in their classroom is rambunctious.,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,The ladies would always gossip when they got together.,generic_generic target,situational behaviour_concrete
neutral,noun,neutral,A lady wears dresses.,generic_generic target,enduring characteristics_concrete
neutral,noun,positive,The female's personality is kind.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,Nurturing is more of a female trait.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,There was a little girl at the park today. She wore a pretty dress and played with dolls.,individual_specific target,situational behaviour_concrete
positive,noun,positive,The lady was so graceful.,individual_specific target,enduring characteristics_abstract
neutral,noun,neutral,We often think of a lady as feminine.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,There are hundreds of stores that maintain gift registries for brides. Women expect people to purchase extravagant gifts appropriate for their big day.,subset_generic target,enduring characteristics_concrete
not-applicable,not-applicable,not-applicable,Take him to the game. He's always comparing the two of them.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,pronoun,positive,She is very dainty.,individual_specific target,enduring characteristics_abstract
neutral,noun,negative,My father is a tough.,individual_specific target,enduring characteristics_abstract
neutral,noun,positive,The bride at the wedding was innocent.,individual_specific target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,He was a handsome groom.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,positive,She learned to knit from her grandmother. She is retired and watches Fox News all day.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,I have an older sister. She's very bossy and controlling.,subset_specific target,enduring characteristics_abstract
neutral,noun,positive,My girlfriend is very sweet to me.,individual_specific target,situational behaviour_concrete
positive,noun,positive,a gentleman usually wears a suit they hold open a door for their woman,generic_generic target,enduring characteristics_concrete
neutral,noun,neutral,My dad says a man should make the most money. He is suppose to pay all the bills.,generic_generic target,enduring characteristics_concrete
negative,noun,negative,Every woman i've met is always so helpless.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,A bride awaits for the groom. They always get cold feet for their big day.,generic_generic target,situational behaviour_concrete
neutral,noun,negative,Cinderella's stepmother was mean,individual_specific target,enduring characteristics_abstract
neutral,noun,neutral,The daddy saw his child off to school. He was stern and departed with a handshake.,generic_generic target,situational behaviour_concrete
neutral,noun,positive,The man was very assertive when he asked for the manager.,generic_generic target,situational behaviour_concrete
neutral,noun,neutral,My grandmother is surprisingly old.,individual_specific target,enduring characteristics_concrete
neutral,noun,positive,My mother is a woman with caring qualities. People who care too much are generous.,generic_generic target,enduring characteristics_abstract
positive,noun,positive,Gentlemen are supposed to be honorable!,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,I am a female and that makes me a superhero. Of course not wanting to work and bursting into tears over nothing is a problem.,generic_generic target,enduring characteristics_concrete
positive,noun,positive,The gentleman was polite to his date.,individual_specific target,situational behaviour_concrete
neutral,noun,positive,My boyfriend is strong,individual_specific target,enduring characteristics_abstract
neutral,noun,neutral,The male sat down on the couch. He was big and muscular and loud.,generic_generic target,enduring characteristics_concrete
neutral,noun,positive,The logical man eventually figured out what his wife wanted from him.,subset_generic target,situational behaviour_concrete
neutral,noun,negative,His new girlfriend is so controlling.,individual_specific target,enduring characteristics_abstract
neutral,noun,neutral,Ladies are often passive.,generic_generic target,enduring characteristics_abstract
positive,noun,positive,The gentleman was kid to everyone he met. He offered the lady his coat because she was cold.,individual_specific target,situational behaviour_concrete
neutral,noun,negative,I met a lady who is quite manipulative,generic_specific target,enduring characteristics_abstract
neutral,noun,neutral,My father is a very masculine kind of man.,subset_specific target,enduring characteristics_abstract
negative,noun,negative,Every brother is mean.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The idea is hers. Feminists today believe men are the root of all evil.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,Stepmother is a woman who is married to a man that has kids from another relationship Are evil woman who want to send you away,generic_generic target,enduring characteristics_concrete
neutral,noun,not-applicable,Dear sir is the friendliest way to address a head of state,generic_generic target,not-applicable_not-applicable
neutral,noun,positive,The boyfriend is eating a chicken. He is sweet and gentle.,individual_specific target,situational behaviour_concrete
neutral,noun,negative,My boyfriend can be rude.,individual_specific target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,His only wish was to have children. That way they could control their partner and kids.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,positive,The wife entered the dining room. She was sweet and cared for her family.,individual_specific target,enduring characteristics_abstract
neutral,noun,negative,My grandfather is old and outdated with his knowledge. Old people are aggressive with their opinions.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,I have to ask my father if I can go out tonight. He is very strict and only lets me go certain places.,individual_specific target,enduring characteristics_concrete
neutral,noun,negative,The majority of fathers are crappy.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,"The child said ""yes ma'am"". The old woman gave the child his food.",subset_specific target,situational behaviour_concrete
neutral,noun,negative,The sister was instigating fights with her brother She loved to pick fights and get him into trouble,subset_specific target,enduring characteristics_concrete
neutral,pronoun,neutral,"The server called her Ma'am as he greeted her. She was middled aged and prim, wearing a conservative dress.",individual_specific target,enduring characteristics_concrete
positive,noun,positive,The gentleman was polite.,generic_generic target,situational behaviour_concrete
neutral,noun,neutral,Some girls can wear pink clothes.,subset_generic target,enduring characteristics_concrete
neutral,noun,positive,I am the oldest son. I am expected to lead by example.,subset_specific target,enduring characteristics_concrete
negative,noun,negative,She couldn't change the oil herself. Women don't know how to work on cars.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,My bride is very demanding.,individual_specific target,enduring characteristics_abstract
neutral,noun,not-applicable,There are many schoolboys in my area. Young boys are angrier than girls.,subset_generic target,not-applicable_not-applicable
positive,noun,positive,A gentleman always helps a woman.,generic_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,We called the old woman ma'am,subset_specific target,not-applicable_not-applicable
neutral,noun,negative,Fathers are the protectors of the family. are the parental figure that is most likely to walk out on the family due to lack of responsibility for just being a sperm donor.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,My male friend is here. He is very masculine and strong.,individual_specific target,enduring characteristics_concrete
neutral,noun,positive,My sister loves to eat pizza. She is pretty and sweet.,individual_specific target,enduring characteristics_concrete
neutral,noun,neutral,Her classmates think the little girl is dainty.,individual_specific target,enduring characteristics_concrete
neutral,noun,positive,The lady was very outspoken about her opinion,individual_specific target,situational behaviour_concrete
neutral,noun,neutral,The girl was playing with her toys. Her favorite toys were a doll house and a talking flower.,individual_specific target,situational behaviour_concrete
neutral,noun,neutral,The grandfather dined at the restaurant. He had white hair and was hunched over.,individual_specific target,enduring characteristics_concrete
positive,noun,positive,The young groom was a handsome man.,individual_specific target,enduring characteristics_abstract
neutral,noun,positive,The lady crossing the street looked both ways She was careful and checked multiple times,individual_specific target,situational behaviour_concrete
neutral,noun,negative,"He's a man, he's been taught not to show feelings.",generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,The schoolboy went to school. The reference usually brings to mind a child in a school uniform.,subset_specific target,situational behaviour_concrete
